Timestamp, E, N, V, Yaw_rad, RateBias_rads, HeadBias_rad, Accel, RawYaw_rad, GPS_E, GPS_N
0.0032, 740806.8997, 3392443.4078, 1.0806, -1.458641, 0.00000003, -0.00000001, -0.0000, 3.029636, 740806.8994, 3392443.4110
0.0057, 740806.9021, 3392443.4052, 1.0806, -1.458446, -0.00000008, 0.00000001, 0.0000, 3.028911, 740806.9352, 3392443.4071
0.0157, 740806.9059, 3392443.3889, 1.4540, -1.457745, -0.00000061, 0.00000002, 0.0065, 3.028156, 740806.9384, 3392443.3866
0.0333, 740806.9117, 3392443.3551, 1.7542, -1.456528, -0.00000174, 0.00000000, 0.0207, 3.027468, 740806.9417, 3392443.3662
0.0357, 740806.9139, 3392443.3506, 1.7543, -1.456279, -0.00000369, -0.00000000, 0.0203, 3.026748, 740806.9450, 3392443.3457
0.0457, 740806.9179, 3392443.3302, 1.8338, -1.455527, -0.00000673, -0.00000001, 0.0263, 3.026015, 740806.9483, 3392443.3253
0.0556, 740806.9219, 3392443.3095, 1.8914, -1.454765, -0.00001084, -0.00000004, 0.0315, 3.025349, 740806.9515, 3392443.3049
0.0658, 740806.9259, 3392443.2883, 1.9354, -1.453982, -0.00001623, -0.00000008, 0.0358, 3.024616, 740806.9548, 3392443.2845
0.0832, 740806.9316, 3392443.2524, 1.9959, -1.452738, -0.00002281, -0.00000016, 0.0428, 3.023952, 740806.9581, 3392443.2641
0.0858, 740806.9336, 3392443.2471, 1.9960, -1.452425, -0.00003020, -0.00000023, 0.0420, 3.023301, 740806.9613, 3392443.2438
0.1032, 740806.9392, 3392443.2108, 2.0376, -1.451170, -0.00003895, -0.00000034, 0.0466, 3.022574, 740806.9646, 3392443.2234
0.1132, 740806.9430, 3392443.1905, 2.0526, -1.450389, -0.00004839, -0.00000047, 0.0475, 3.021945, 740806.9678, 3392443.2031
0.1232, 740806.9467, 3392443.1701, 2.0654, -1.449606, -0.00005876, -0.00000061, 0.0480, 3.021258, 740806.9710, 3392443.1828
0.1257, 740806.9486, 3392443.1648, 2.0656, -1.449285, -0.00007012, -0.00000074, 0.0471, 3.020569, 740806.9743, 3392443.1625
0.1357, 740806.9523, 3392443.1437, 2.0769, -1.448505, -0.00008217, -0.00000089, 0.0471, 3.019964, 740806.9775, 3392443.1422
0.1457, 740806.9560, 3392443.1225, 2.0864, -1.447720, -0.00009540, -0.00000105, 0.0469, 3.019255, 740806.9808, 3392443.1220
0.1558, 740806.9598, 3392443.1013, 2.0941, -1.446939, -0.00010931, -0.00000123, 0.0463, 3.018625, 740806.9840, 3392443.1017
0.1732, 740806.9654, 3392443.0651, 2.1052, -1.445707, -0.00012375, -0.00000144, 0.0454, 3.017949, 740806.9872, 3392443.0815
0.1832, 740806.9690, 3392443.0447, 2.1093, -1.444933, -0.00013879, -0.00000166, 0.0443, 3.017270, 740806.9905, 3392443.0613
0.1858, 740806.9707, 3392443.0395, 2.1094, -1.444618, -0.00015451, -0.00000188, 0.0434, 3.016638, 740806.9938, 3392443.0412
0.2033, 740806.9764, 3392443.0032, 2.1153, -1.443394, -0.00017065, -0.00000213, 0.0417, 3.015940, 740806.9970, 3392443.0210
0.2132, 740806.9814, 3392442.9838, 2.1169, -1.442320, -0.00023310, -0.00000273, 0.0403, 3.015297, 740807.0348, 3392443.0178
0.2157, 740806.9844, 3392442.9795, 2.1170, -1.441733, -0.00028992, -0.00000331, 0.0394, 3.014627, 740807.0382, 3392442.9977
0.2257, 740806.9894, 3392442.9591, 2.1185, -1.440705, -0.00034680, -0.00000392, 0.0380, 3.013925, 740807.0415, 3392442.9777
0.2432, 740806.9964, 3392442.9238, 2.1200, -1.439233, -0.00040684, -0.00000458, 0.0359, 3.013310, 740807.0449, 3392442.9576
0.2532, 740807.0012, 3392442.9041, 2.1202, -1.438226, -0.00046564, -0.00000526, 0.0345, 3.012596, 740807.0482, 3392442.9376
0.2634, 740807.0061, 3392442.8840, 2.1204, -1.437223, -0.00052282, -0.00000595, 0.0331, 3.011929, 740807.0516, 3392442.9176
0.2659, 740807.0087, 3392442.8795, 2.1205, -1.436715, -0.00057460, -0.00000661, 0.0324, 3.011260, 740807.0550, 3392442.8976
0.2758, 740807.0135, 3392442.8595, 2.1199, -1.435773, -0.00062589, -0.00000729, 0.0310, 3.010532, 740807.0583, 3392442.8776
0.2934, 740807.0202, 3392442.8241, 2.1185, -1.434383, -0.00067896, -0.00000802, 0.0289, 3.009882, 740807.0617, 3392442.8577
0.3034, 740807.0248, 3392442.8046, 2.1178, -1.433462, -0.00072993, -0.00000875, 0.0277, 3.009203, 740807.0651, 3392442.8377
0.3132, 740807.0294, 3392442.7851, 2.1175, -1.432559, -0.00077896, -0.00000948, 0.0265, 3.008504, 740807.0685, 3392442.8178
0.3157, 740807.0317, 3392442.7808, 2.1176, -1.432123, -0.00082300, -0.00001019, 0.0260, 3.007861, 740807.0720, 3392442.7978
0.3259, 740807.0364, 3392442.7600, 2.1173, -1.431233, -0.00086627, -0.00001090, 0.0249, 3.007146, 740807.0754, 3392442.7778
0.3358, 740807.0409, 3392442.7399, 2.1193, -1.430373, -0.00090827, -0.00001162, 0.0241, 3.006460, 740807.0789, 3392442.7578
0.3457, 740807.0453, 3392442.7197, 2.1211, -1.429521, -0.00094833, -0.00001234, 0.0233, 3.005829, 740807.0824, 3392442.7379
0.3631, 740807.0520, 3392442.6843, 2.1237, -1.428230, -0.00098891, -0.00001309, 0.0222, 3.005126, 740807.0858, 3392442.7179
0.3733, 740807.0564, 3392442.6643, 2.1241, -1.427389, -0.00102666, -0.00001385, 0.0214, 3.004499, 740807.0894, 3392442.6979
0.3757, 740807.0586, 3392442.6598, 2.1241, -1.427014, -0.00106064, -0.00001458, 0.0209, 3.003838, 740807.0929, 3392442.6779
0.3858, 740807.0630, 3392442.6394, 2.1244, -1.426202, -0.00109335, -0.00001530, 0.0201, 3.003163, 740807.0964, 3392442.6578
0.4033, 740807.0696, 3392442.6039, 2.1249, -1.424965, -0.00112503, -0.00001606, 0.0189, 3.002546, 740807.1000, 3392442.6378
0.4132, 740807.0754, 3392442.5851, 2.1257, -1.423823, -0.00127937, -0.00001752, 0.0183, 3.001883, 740807.1400, 3392442.6357
0.4156, 740807.0789, 3392442.5812, 2.1258, -1.423161, -0.00141505, -0.00001891, 0.0179, 3.001265, 740807.1436, 3392442.6156
0.4332, 740807.0869, 3392442.5461, 2.1276, -1.421629, -0.00155353, -0.00002035, 0.0170, 3.000647, 740807.1473, 3392442.5955
0.4432, 740807.0925, 3392442.5270, 2.1284, -1.420572, -0.00168397, -0.00002178, 0.0164, 2.999989, 740807.1511, 3392442.5754
0.4532, 740807.0981, 3392442.5077, 2.1299, -1.419539, -0.00180585, -0.00002319, 0.0159, 2.999395, 740807.1548, 3392442.5552
0.4632, 740807.1036, 3392442.4884, 2.1312, -1.418534, -0.00191950, -0.00002459, 0.0154, 2.998779, 740807.1586, 3392442.5351
0.4657, 740807.1067, 3392442.4843, 2.1313, -1.417996, -0.00201785, -0.00002593, 0.0151, 2.998150, 740807.1624, 3392442.5149
0.4757, 740807.1121, 3392442.4643, 2.1332, -1.417047, -0.00210974, -0.00002726, 0.0147, 2.997572, 740807.1662, 3392442.4947
0.4858, 740807.1176, 3392442.4441, 2.1349, -1.416112, -0.00219610, -0.00002858, 0.0142, 2.996931, 740807.1700, 3392442.4745
0.5031, 740807.1253, 3392442.4089, 2.1395, -1.414771, -0.00228248, -0.00002993, 0.0138, 2.996337, 740807.1739, 3392442.4542
0.5132, 740807.1529, 3392442.3925, 2.1413, -1.356972, -0.04948883, -0.00014361, 0.0135, 2.995718, 740807.1778, 3392442.4339
0.5156, 740807.1598, 3392442.3890, 2.1413, -1.344162, -0.05992768, -0.00016919, 0.0132, 2.995111, 740807.1817, 3392442.4136
0.5257, 740807.1675, 3392442.3692, 2.1430, -1.337611, -0.06478156, -0.00018037, 0.0128, 2.994530, 740807.1856, 3392442.3931
0.5356, 740807.1741, 3392442.3494, 2.1456, -1.333504, -0.06767665, -0.00018661, 0.0126, 2.993927, 740807.1895, 3392442.3727
0.5531, 740807.1840, 3392442.3142, 2.1499, -1.329746, -0.06961239, -0.00019019, 0.0122, 2.993313, 740807.1935, 3392442.3523
0.5556, 740807.1861, 3392442.3098, 2.1499, -1.328266, -0.07103190, -0.00019301, 0.0120, 2.992727, 740807.1975, 3392442.3318
0.5732, 740807.1957, 3392442.2743, 2.1542, -1.325407, -0.07201220, -0.00019487, 0.0117, 2.992119, 740807.2015, 3392442.3113
0.5757, 740807.1975, 3392442.2700, 2.1543, -1.324549, -0.07283145, -0.00019655, 0.0114, 2.991538, 740807.2055, 3392442.2907
0.5857, 740807.2031, 3392442.2498, 2.1564, -1.322920, -0.07344186, -0.00019795, 0.0112, 2.990938, 740807.2095, 3392442.2701
0.6032, 740807.2126, 3392442.2141, 2.1625, -1.320559, -0.07370278, -0.00019906, 0.0111, 2.990336, 740807.2135, 3392442.2495
0.6057, 740807.2155, 3392442.2103, 2.1625, -1.320078, -0.07390366, -0.00020030, 0.0109, 2.989750, 740807.2549, 3392442.2486
0.6157, 740807.2233, 3392442.1908, 2.1662, -1.314604, -0.08322944, -0.00020326, 0.0108, 2.989129, 740807.2591, 3392442.2280
0.6332, 740807.2350, 3392442.1558, 2.1722, -1.308593, -0.09223302, -0.00020464, 0.0107, 2.988534, 740807.2632, 3392442.2073
0.6432, 740807.2422, 3392442.1369, 2.1748, -1.304071, -0.10028609, -0.00020541, 0.0105, 2.987943, 740807.2673, 3392442.1866
0.6531, 740807.2494, 3392442.1177, 2.1778, -1.299913, -0.10747577, -0.00020577, 0.0104, 2.987318, 740807.2715, 3392442.1659
0.6631, 740807.2564, 3392442.0985, 2.1804, -1.296057, -0.11387099, -0.00020586, 0.0102, 2.986737, 740807.2757, 3392442.1451
0.6731, 740807.2633, 3392442.0792, 2.1830, -1.292459, -0.11951738, -0.00020580, 0.0101, 2.986119, 740807.2798, 3392442.1244
0.6756, 740807.2658, 3392442.0750, 2.1830, -1.290354, -0.12443715, -0.00020588, 0.0099, 2.985527, 740807.2840, 3392442.1036
0.6933, 740807.2772, 3392442.0395, 2.1878, -1.285837, -0.12872008, -0.00020578, 0.0097, 2.984940, 740807.2882, 3392442.0828
0.7031, 740807.2838, 3392442.0203, 2.1898, -1.282881, -0.13235976, -0.00020577, 0.0095, 2.984338, 740807.2924, 3392442.0619
0.7133, 740807.2901, 3392442.0003, 2.1927, -1.283208, -0.12525860, -0.00021000, 0.0094, 2.983746, 740807.2966, 3392442.0411
0.7231, 740807.2962, 3392441.9808, 2.1952, -1.283541, -0.11846256, -0.00021432, 0.0093, 2.983171, 740807.3008, 3392442.0202
0.7257, 740807.2978, 3392441.9762, 2.1952, -1.284907, -0.11261672, -0.00021822, 0.0091, 2.982571, 740807.3050, 3392441.9993
0.7433, 740807.3086, 3392441.9403, 2.1993, -1.283928, -0.10629375, -0.00022268, 0.0089, 2.981982, 740807.3092, 3392441.9784
0.7531, 740807.3145, 3392441.9206, 2.2023, -1.284191, -0.10027344, -0.00022713, 0.0089, 2.981395, 740807.3135, 3392441.9575
0.7631, 740807.3205, 3392441.9006, 2.2050, -1.284416, -0.09454210, -0.00023155, 0.0088, 2.980812, 740807.3177, 3392441.9365
0.7733, 740807.3265, 3392441.8802, 2.2081, -1.284590, -0.08907120, -0.00023594, 0.0087, 2.980223, 740807.3219, 3392441.9155
0.7831, 740807.3323, 3392441.8605, 2.2107, -1.284797, -0.08389195, -0.00024026, 0.0086, 2.979617, 740807.3262, 3392441.8945
0.7858, 740807.3336, 3392441.8554, 2.2107, -1.285823, -0.07943212, -0.00024415, 0.0084, 2.979058, 740807.3305, 3392441.8735
0.8032, 740807.3441, 3392441.8193, 2.2158, -1.284984, -0.07470688, -0.00024836, 0.0084, 2.978431, 740807.3347, 3392441.8524
0.8133, 740807.3513, 3392441.7994, 2.2193, -1.285100, -0.07020042, -0.00025255, 0.0084, 2.977862, 740807.3775, 3392441.8508
0.8157, 740807.3540, 3392441.7957, 2.2193, -1.282899, -0.07612799, -0.00024998, 0.0082, 2.977266, 740807.3819, 3392441.8297
0.8257, 740807.3615, 3392441.7756, 2.2224, -1.279887, -0.08139419, -0.00024777, 0.0082, 2.976685, 740807.3863, 3392441.8086
0.8357, 740807.3689, 3392441.7553, 2.2263, -1.277005, -0.08602473, -0.00024593, 0.0082, 2.976094, 740807.3907, 3392441.7874
0.8458, 740807.3763, 3392441.7349, 2.2296, -1.274250, -0.09005758, -0.00024445, 0.0081, 2.975489, 740807.3951, 3392441.7662
0.8632, 740807.3884, 3392441.6993, 2.2360, -1.270592, -0.09344057, -0.00024337, 0.0082, 2.974901, 740807.3996, 3392441.7450
0.8657, 740807.3907, 3392441.6949, 2.2361, -1.269204, -0.09640690, -0.00024259, 0.0081, 2.974321, 740807.4040, 3392441.7237
0.8757, 740807.3979, 3392441.6745, 2.2395, -1.266833, -0.09890011, -0.00024214, 0.0081, 2.973692, 740807.4085, 3392441.7024
0.8933, 740807.4100, 3392441.6381, 2.2467, -1.263466, -0.10078437, -0.00024211, 0.0082, 2.973125, 740807.4130, 3392441.6811
0.8958, 740807.4120, 3392441.6339, 2.2467, -1.262491, -0.10244672, -0.00024226, 0.0081, 2.972480, 740807.4176, 3392441.6597
0.9133, 740807.4237, 3392441.5973, 2.2552, -1.262277, -0.09540639, -0.00024920, 0.0084, 2.971890, 740807.4221, 3392441.6383
0.9157, 740807.4251, 3392441.5928, 2.2552, -1.264134, -0.08928665, -0.00025539, 0.0082, 2.971276, 740807.4267, 3392441.6168
0.9332, 740807.4366, 3392441.5560, 2.2640, -1.263907, -0.08310330, -0.00026175, 0.0085, 2.970684, 740807.4313, 3392441.5953
0.9357, 740807.4379, 3392441.5514, 2.2640, -1.265587, -0.07772074, -0.00026744, 0.0084, 2.970071, 740807.4359, 3392441.5737
0.9531, 740807.4493, 3392441.5144, 2.2723, -1.265346, -0.07228599, -0.00027327, 0.0086, 2.969455, 740807.4405, 3392441.5521
0.9631, 740807.4555, 3392441.4939, 2.2760, -1.266048, -0.06721667, -0.00027883, 0.0086, 2.968858, 740807.4452, 3392441.5305
0.9657, 740807.4566, 3392441.4890, 2.2760, -1.267475, -0.06279615, -0.00028383, 0.0085, 2.968223, 740807.4499, 3392441.5088
0.9757, 740807.4630, 3392441.4675, 2.2813, -1.267948, -0.05862404, -0.00028864, 0.0086, 2.967631, 740807.4546, 3392441.4870
